nmc=10
nx=4
kmax=20
run number  , frame , sample interval , truth:
8  5 2.787796  2.773975 3.709537 109.036579 -1.893062
8  6 2.787796  13.863951 3.770173 108.950521 1.856930
8  7 2.787796  21.245366 1.217063 117.179655 3.676989
8  8 2.787796  20.809572 -1.486064 128.009903 3.651242
8  9 2.787796  12.955623 -3.823047 134.768899 0.884660
8  10 2.787796  2.794959 -3.024990 132.792908 -2.217028
8  11 2.787796  -2.145982 -0.306176 123.623598 -3.988354
8  12 2.787796  2.046732 3.160603 113.303352 -2.983774
8  13 2.787796  13.566345 4.634059 109.851914 0.672988
8  14 2.787796  23.550198 2.074692 116.669810 3.932241
8  15 2.787796  24.427270 -1.479730 128.336821 3.929679
8  16 2.787796  16.812616 -3.645419 136.084885 1.286352
8  17 2.787796  7.043418 -2.921683 135.329217 -1.793556
8  18 2.787796  1.717240 -0.676973 127.532303 -3.476387
8  19 2.787796  4.053132 2.261923 119.012813 -2.240201
8  20 2.787796  12.126427 3.188971 115.841404 0.094277
9  1 1.398276  23.835877 -1.640766 125.284423 3.444247
9  2 1.398276  20.516316 -3.039512 129.484114 2.474319
9  3 1.398276  15.651497 -3.816951 132.051088 1.145121
9  4 1.398276  10.171529 -3.905256 132.472508 -0.551848
9  5 1.398276  5.165728 -3.146530 130.500415 -2.229399
9  6 1.398276  1.567238 -1.924200 126.603166 -3.262164
9  7 1.398276  0.118393 -0.113009 121.536049 -3.880636
9  8 1.398276  0.981342 1.326948 116.276464 -3.530807
9  9 1.398276  3.619452 2.387065 111.991574 -2.505242
9  10 1.398276  7.691830 3.354388 109.343576 -1.225242
9  11 1.398276  12.348932 3.203571 108.516173 0.056379
9  12 1.398276  16.477874 2.611041 109.434091 1.235462
9  13 1.398276  19.657838 1.870308 111.958651 2.324342
9  14 1.398276  21.565526 0.819037 115.641505 2.865612
9  15 1.398276  21.961306 -0.258908 119.770376 2.953230
9  16 1.398276  20.726819 -1.481471 123.554616 2.376725
9  17 1.398276  18.044314 -2.298646 126.453186 1.710324
9  18 1.398276  14.291775 -2.992688 128.187948 0.736091
9  19 1.398276  9.888160 -3.216004 128.271621 -0.619239
9  20 1.398276  5.781935 -2.569183 126.558505 -1.793850
10  1 1.597446  23.403084 -1.963207 126.096081 3.484401
10  2 1.597446  19.141117 -3.268716 130.544685 1.974155
10  3 1.597446  13.150559 -4.092775 132.298006 0.177539
10  4 1.597446  6.616704 -3.934685 131.053633 -1.705088
10  5 1.597446  1.188197 -2.731730 127.040126 -3.221239
10  6 1.597446  -1.915308 -1.081955 121.045290 -4.140520
10  7 1.597446  -2.036894 0.932331 114.473606 -3.924367
10  8 1.597446  0.949289 2.736451 108.920856 -2.891002
10  9 1.597446  6.275588 3.804786 105.787117 -0.950268
10  10 1.597446  12.300150 3.588708 105.509304 0.603212
10  11 1.597446  17.511546 2.808722 107.854728 2.278540
10  12 1.597446  20.689758 1.087134 112.582234 3.530681
10  13 1.597446  21.034930 -0.663281 118.652925 3.929464
10  14 1.597446  18.504672 -2.444584 124.274118 2.968976
10  15 1.597446  13.649549 -3.516828 128.147175 1.792400
10  16 1.597446  7.592775 -3.920034 129.707903 0.127128
10  17 1.597446  1.802994 -3.182688 128.717090 -1.336917
10  18 1.597446  -2.798234 -2.472452 125.336069 -2.817943
10  19 1.597446  -5.631976 -1.009432 119.997819 -3.739024
10  20 1.597446  -5.999637 0.552668 114.084385 -3.517235
