nmc=10
nx=4
kmax=56
run number  , frame , sample interval , truth:
3  47 2.843626  -101.371365 -4.479282 2173.296853 25.216924
3  48 2.843626  -99.352608 5.899128 2237.535479 19.963861
3  49 2.843626  -87.345689 2.545667 2290.950802 17.604598
3  50 2.843626  -80.546960 2.236066 2332.099984 11.336749
3  51 2.843626  -73.647412 2.616575 2365.978878 12.491205
3  52 2.843626  -64.803474 3.603609 2393.491286 6.859026
3  53 2.843626  -62.777899 -2.178967 2404.223348 0.689127
3  54 2.843626  -73.795554 -5.570051 2402.954460 -1.581570
3  55 2.843626  -85.443314 -2.622137 2398.797733 -1.341970
3  56 2.843626  -97.343864 -5.747845 2403.845867 4.892461
4  1 2.843626  25.127149 0.089427 131.948451 4.403673
4  2 2.843626  25.542668 0.202818 144.441428 4.382980
4  3 2.843626  26.815675 0.692523 156.738285 4.265737
4  4 2.843626  28.873956 0.755122 169.399226 4.639050
4  5 2.843626  30.840513 0.628012 182.297421 4.432605
4  6 2.843626  31.775776 0.029785 194.633352 4.243593
4  7 2.843626  32.952868 0.798096 206.039521 3.778678
4  8 2.843626  35.825829 1.222537 216.600607 3.649224
4  9 2.843626  39.318813 1.234174 227.280248 3.862060
4  10 2.843626  43.264097 1.540652 238.571859 4.079640
4  11 2.843626  47.869575 1.698506 249.381341 3.522965
4  12 2.843626  52.432904 1.511007 259.352928 3.490326
4  13 2.843626  55.486897 0.636949 269.905211 3.931384
4  14 2.843626  56.751013 0.252138 281.450081 4.188439
4  15 2.843626  58.450642 0.943257 301.529443 9.933926
4  16 2.843626  61.351539 1.097023 332.542980 11.878743
4  17 2.843626  65.084428 1.528421 370.394134 14.743010
4  18 2.843626  69.232091 1.388744 415.824998 17.209761
4  19 2.843626  73.484109 1.601817 457.518006 12.114074
4  20 2.843626  77.880377 1.490199 494.430361 13.847397
4  21 2.843626  82.495748 1.755918 538.774465 17.341026
4  22 2.843626  87.248832 1.587056 587.025307 16.595113
4  23 2.843626  91.605456 1.477076 635.327852 17.377389
4  24 2.843626  95.763540 1.447418 685.259554 17.740944
4  25 2.843626  99.837422 1.417855 732.891028 15.759576
4  26 2.843626  104.422858 1.807208 779.390846 16.945019
4  27 2.843626  109.752971 1.941607 834.783924 22.014450
4  28 2.843626  115.402327 2.031741 900.633307 24.299226
4  29 2.843626  120.800564 1.764987 969.360595 24.038558
4  30 2.843626  125.881893 1.808850 1037.635485 23.981042
4  31 2.843626  131.352890 2.039052 1106.608429 24.529518
4  32 2.843626  138.134449 2.730604 1176.021374 24.290507
4  33 2.843626  146.395688 3.079752 1245.068789 24.272431
4  34 2.843626  155.177453 3.096703 1313.783157 24.056265
4  35 2.843626  164.574623 3.512584 1382.285680 24.123435
4  36 2.843626  174.400519 3.398238 1451.253299 24.383380
4  37 2.843626  184.194170 3.489905 1520.397859 24.247882
4  38 2.843626  194.691069 3.892851 1589.635981 24.449186
4  39 2.843626  205.416364 3.650543 1659.425193 24.635478
4  40 2.843626  215.281179 3.287651 1730.175608 25.125227
4  41 2.843626  224.124303 2.931960 1802.122775 25.477187
4  42 2.843626  232.716888 3.111440 1874.604027 25.500863
4  43 2.843626  231.554799 -3.928769 1947.036420 25.442823
4  44 2.843626  221.869061 -2.883476 2017.257390 23.945509
