nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
1  141 1.309290  336.764419 -3.824681 446.926953 -6.558781 0.435852
1  142 1.309290  334.669778 0.723212 437.343507 -7.683601 0.451486
1  143 1.309290  338.449233 4.880929 428.057981 -6.088273 0.782442
1  144 1.309290  347.422328 7.592682 424.371031 0.952856 0.886046
1  145 1.309290  354.718980 2.289383 430.480559 7.304545 1.167445
1  146 1.309290  350.722477 -7.145239 438.653495 2.662491 1.275127
1  147 1.309290  342.896429 -1.878078 434.514159 -7.466620 1.115790
1  148 1.309290  347.187486 7.225162 426.347766 -2.710786 1.258878
1  149 1.309290  355.277292 2.216594 430.242281 7.196337 1.364359
1  150 1.309290  350.507143 -7.434490 437.591002 0.968525 1.541506
1  151 1.309290  345.286851 2.386307 431.300614 -7.040762 1.432241
1  152 1.309290  353.318901 6.082886 428.500350 3.965495 1.448255
2  1 1.309290  24.237948 -1.158112 125.220423 3.929189 -0.002646
2  2 1.309290  22.764240 -1.093042 130.332018 3.878996 -0.103742
2  3 1.309290  21.729158 -0.485549 135.538133 4.061457 -0.340025
2  4 1.309290  22.230787 1.237906 140.678335 3.656708 -0.384367
2  5 1.309290  25.078504 3.023638 144.839146 2.563503 -0.372351
2  6 1.309290  29.812209 4.067406 147.008535 0.681113 -0.346493
2  7 1.309290  35.323507 4.210878 146.746794 -1.072366 -0.397192
2  8 1.309290  40.276112 3.184612 144.025071 -2.990324 -0.363725
2  9 1.309290  43.428276 1.540657 139.262085 -4.147905 -0.565403
2  10 1.309290  43.512215 -1.406654 133.540215 -4.193924 -0.521190
2  11 1.309290  39.945561 -3.832238 129.111178 -2.304568 -0.207858
2  12 1.309290  34.456660 -4.501673 126.853385 -1.122585 -0.410588
2  13 1.309290  28.539421 -4.315391 126.935839 1.243123 -0.320142
2  14 1.309290  23.257667 -3.637211 129.885722 3.201335 -0.130946
2  15 1.309290  18.809067 -3.141829 134.592756 3.971734 -0.106815
2  16 1.309290  15.020267 -2.636428 140.156926 4.514163 -0.228322
2  17 1.309290  12.462100 -1.242535 146.532474 5.152603 -0.210739
2  18 1.309290  11.803130 0.242540 153.265256 5.065227 -0.494178
2  19 1.309290  14.134423 3.191559 159.405343 3.987769 -0.338134
2  20 1.309290  19.244063 4.483973 163.548038 2.236700 -0.267807
2  21 1.309290  25.526835 5.015082 165.320598 0.441950 -0.304543
2  22 1.309290  31.897793 4.584793 164.628364 -1.484588 -0.348966
2  23 1.309290  37.264604 3.470326 161.428238 -3.317762 -0.383591
2  24 1.309290  40.434550 1.265925 156.217053 -4.472283 -0.506664
2  25 1.309290  40.073895 -1.798024 150.141261 -4.472126 -0.519196
2  26 1.309290  35.973521 -4.222924 145.589319 -2.205820 -0.614578
