nmc=50
nx=2
kmax=100
run number  , frame , sample interval , truth:
3  22 1.000000  -193.485387 -10.611520
3  23 1.000000  -204.382169 -11.182045
3  24 1.000000  -215.758537 -11.570690
3  25 1.000000  -227.695853 -12.303941
3  26 1.000000  -240.751598 -13.807548
3  27 1.000000  -254.160006 -13.009268
3  28 1.000000  -266.911227 -12.493174
3  29 1.000000  -278.927536 -11.539445
3  30 1.000000  -290.895656 -12.396794
3  31 1.000000  -303.386763 -12.585419
3  32 1.000000  -315.925873 -12.492801
3  33 1.000000  -328.757615 -13.170683
3  34 1.000000  -342.142470 -13.599026
3  35 1.000000  -355.576827 -13.269690
3  36 1.000000  -368.595103 -12.766862
3  37 1.000000  -380.987003 -12.016937
3  38 1.000000  -392.565233 -11.139523
3  39 1.000000  -402.720553 -9.171118
3  40 1.000000  -412.668520 -10.724816
3  41 1.000000  -423.356033 -10.650210
3  42 1.000000  -433.514240 -9.666202
3  43 1.000000  -443.041674 -9.388666
3  44 1.000000  -451.804206 -8.136399
3  45 1.000000  -459.509156 -7.273502
3  46 1.000000  -466.655856 -7.019898
3  47 1.000000  -473.701896 -7.072181
3  48 1.000000  -480.935596 -7.395219
3  49 1.000000  -487.959353 -6.652295
3  50 1.000000  -494.509387 -6.447771
3  51 1.000000  -501.220262 -6.973980
3  52 1.000000  -508.878605 -8.342707
3  53 1.000000  -516.198226 -6.296534
3  54 1.000000  -522.938127 -7.183267
3  55 1.000000  -529.474625 -5.889729
3  56 1.000000  -534.712989 -4.587000
3  57 1.000000  -539.102942 -4.192905
3  58 1.000000  -543.676875 -4.954962
3  59 1.000000  -549.217778 -6.126844
3  60 1.000000  -555.705698 -6.848997
3  61 1.000000  -563.717131 -9.173869
3  62 1.000000  -572.362837 -8.117543
3  63 1.000000  -580.466762 -8.090306
3  64 1.000000  -588.173353 -7.322875
3  65 1.000000  -596.113690 -8.557800
3  66 1.000000  -604.151214 -7.517249
3  67 1.000000  -611.583195 -7.346712
