nmc=10
nx=5
kmax=157
run number  , frame , sample interval , truth:
2  16 1.272188  -36.351515 -3.267953 112.030033 3.373579 -0.206836
2  17 1.272188  -39.891034 -2.264283 116.939335 4.300842 -0.342650
2  18 1.272188  -41.593900 -0.372415 122.754542 4.693425 -0.511987
2  19 1.272188  -40.188779 2.501029 128.467903 3.969088 -0.406334
2  20 1.272188  -35.922802 4.053641 132.602808 2.389896 -0.250887
2  21 1.272188  -30.344463 4.641826 134.736552 0.935501 -0.208781
2  22 1.272188  -24.298750 4.807152 135.179017 -0.243572 -0.130946
2  23 1.272188  -18.304264 4.594700 134.255487 -1.205334 -0.144124
2  24 1.272188  -12.732213 4.140094 132.166670 -2.069410 -0.322952
2  25 1.272188  -8.084333 3.065094 128.526183 -3.573367 -0.562644
2  26 1.272188  -6.010289 0.059002 123.222358 -4.392071 -0.425581
2  27 1.272188  -7.538452 -2.407214 117.908545 -3.755729 -0.420460
2  28 1.272188  -11.626379 -3.862480 114.161717 -1.993260 -0.325742
2  29 1.272188  -16.846196 -4.224157 112.652482 -0.346455 -0.698236
2  30 1.272188  -21.651703 -2.819569 114.358843 2.835332 -0.933306
2  31 1.272188  -22.509217 1.641795 118.999137 3.568956 -0.981102
2  32 1.272188  -20.269009 1.880023 123.553943 3.591631 0.000000
2  33 1.272188  -17.935171 1.788992 128.129652 3.601818 0.000000
2  34 1.272188  -15.660114 1.787613 132.676144 3.545698 0.000000
2  35 1.272188  -13.345357 1.851405 137.126018 3.449925 0.000000
2  36 1.272188  -10.999212 1.836957 141.475536 3.387928 0.000000
2  37 1.272188  -8.694127 1.786856 145.748259 3.329198 0.000000
2  38 1.272188  -6.357870 1.885961 149.838309 3.100748 0.000000
2  39 1.272188  -4.047525 1.746120 153.989130 3.424735 0.000000
2  40 1.272188  -1.703821 1.938405 158.305537 3.361066 0.000000
2  41 1.272188  0.698540 1.838333 162.623723 3.427532 0.000000
2  42 1.272188  3.131983 1.987271 166.928859 3.340550 0.000000
2  43 1.272188  5.730333 2.097582 171.260874 3.469789 0.000000
2  44 1.272188  8.304391 1.949082 175.753635 3.593258 0.000000
2  45 1.272188  10.879780 2.099673 180.330257 3.601625 0.000000
2  46 1.272188  13.653083 2.260222 184.906217 3.592218 0.000000
