nmc=10
nx=5
kmax=20
run number  , frame , sample interval , truth:
8  13 1.015009  -56.406292 -56.566051 178.303438 -70.149598 1.375696
8  14 1.015009  -54.714748 59.353696 94.092834 -67.905224 1.306034
8  15 1.015009  28.759904 80.307567 78.063357 41.085255 1.249139
8  16 1.015009  66.992462 -15.360166 154.588084 88.943689 1.111582
8  17 1.015009  8.880645 -86.705175 218.931024 24.081944 1.109402
8  18 1.015009  -74.109234 -59.179278 193.949357 -68.001611 0.898238
8  19 1.015009  -96.810038 17.596771 108.643334 -88.268285 0.880069
8  20 1.015009  -43.805697 79.805435 37.952524 -41.635806 0.781021
9  1 1.767950  59.690625 -60.520710 206.938510 67.739360 1.206302
9  2 1.767950  -68.885527 -25.132834 177.166024 -87.750714 1.172596
9  3 1.767950  23.201881 89.023650 79.955063 20.367980 1.253548
9  4 1.767950  53.591389 -70.184092 206.809259 59.020683 1.110394
9  5 1.767950  -78.440740 -27.875068 168.388992 -87.600868 1.328353
9  6 1.767950  18.675320 81.810709 85.810158 41.735429 0.881655
9  7 1.767950  64.456462 -41.014136 224.612287 82.077998 0.861065
9  8 1.767950  -74.005645 -84.176836 274.747171 -36.706852 0.928155
9  9 1.767950  -122.094856 42.584362 138.239706 -81.406878 0.970584
9  10 1.767950  17.139771 74.182657 105.690421 54.162116 0.736462
9  11 1.767950  60.212641 -32.546802 250.591519 85.921223 0.537455
9  12 1.767950  -56.222066 -89.130974 355.340758 23.526939 0.497404
9  13 1.767950  -211.282698 -74.820428 327.016675 -53.463826 0.349792
9  14 1.767950  -306.655212 -29.597619 198.753574 -86.981650 0.393542
9  15 1.767950  -303.319735 33.225178 39.825706 -85.483897 0.179904
9  16 1.767950  -221.725155 58.299575 -99.743784 -71.073539 0.461970
9  17 1.767950  -81.269103 91.655945 -171.827177 -5.870529 0.459632
9  18 1.767950  67.274307 67.019239 -118.777123 62.546129 -0.045460
9  19 1.767950  190.118437 71.873820 -13.121136 56.913197 0.138281
9  20 1.767950  303.410469 55.647657 101.963817 72.628030 0.257337
10  1 1.970845  45.883235 -73.158223 219.264942 54.058914 0.950406
10  2 1.970845  -101.308042 -29.716971 173.595912 -86.012668 0.745538
10  3 1.970845  -37.261435 82.577255 22.933355 -38.339926 0.525278
10  4 1.970845  133.656028 75.092295 37.128782 51.433754 0.596525
10  5 1.970845  196.802113 -18.569258 194.110452 89.081567 1.335121
10  6 1.970845  65.269882 -27.097718 200.488230 -86.970939 1.527817
10  7 1.970845  176.353563 38.211188 157.500487 82.442942 1.430953
10  8 1.970845  72.467202 -62.343230 227.911485 -65.976270 1.307312
10  9 1.970845  140.220052 88.184256 112.818960 22.229103 1.307591
10  10 1.970845  144.838927 -86.496812 246.329403 28.399243 1.381290
10  11 1.970845  79.979593 67.415387 134.834073 -61.202369 1.554609
10  12 1.970845  161.818163 -62.608895 218.329657 66.202461 1.430050
10  13 1.970845  57.586820 38.204238 147.660824 -82.736166 1.342146
10  14 1.970845  187.177208 6.001293 171.934762 91.088019 1.387233
10  15 1.970845  63.085503 -41.475013 206.399791 -81.105601 1.316513
10  16 1.970845  161.166252 77.849703 115.876589 47.630717 1.302863
10  17 1.970845  126.558884 -91.018079 245.434767 2.035471 1.420569
10  18 1.970845  102.227379 84.998692 121.191511 -32.724219 1.872040
10  19 1.970845  111.007280 -89.573052 214.312041 -16.491527 1.568049
10  20 1.970845  129.124150 90.320383 99.895130 12.183479 1.713691
