nmc=10
nx=5
kmax=105
run number  , frame , sample interval , truth:
2  41 1.899769  134.047297 1.476057 392.438604 3.070340 0.000000
2  42 1.899769  137.308363 1.957061 398.474241 3.283734 0.000000
2  43 1.899769  139.534972 0.335740 405.240745 3.641004 0.298459
2  44 1.899769  138.438624 -1.452930 411.819844 3.094410 0.042939
2  45 1.899769  135.595839 -1.538089 417.582464 2.968880 -0.342556
2  46 1.899769  134.817411 0.754092 424.044710 3.603502 -0.379907
2  47 1.899769  138.156484 2.591661 429.479858 1.852317 -0.425440
2  48 1.899769  143.699586 2.910656 430.556048 -0.792614 -0.698792
2  49 1.899769  146.966423 0.021542 426.297542 -3.011263 -0.886614
2  50 1.899769  143.226900 -2.975797 423.092854 0.527072 -1.071114
2  51 1.899769  141.226761 1.563166 427.436468 2.300754 -0.977474
2  52 1.899769  145.659187 1.639648 427.817193 -1.966624 -0.814664
2  53 1.899769  145.293197 -1.949142 423.278637 -1.852108 -0.888116
2  54 1.899769  140.597585 -1.811194 423.754042 2.253308 -0.802283
2  55 1.899769  141.436182 2.604386 428.519546 1.711792 -0.727137
2  56 1.899769  146.781097 2.083443 428.128508 -2.020480 -0.658564
2  57 1.899769  147.852001 -1.082907 423.307100 -2.338512 -0.671926
2  58 1.899769  144.055038 -2.324479 421.513872 0.772075 -0.703293
2  59 1.899769  141.634491 0.159252 424.790809 2.095751 -0.849928
2  60 1.899769  144.665700 2.371078 426.713975 -0.613867 -0.912613
2  61 1.899769  146.069207 -1.388792 423.093744 -2.173603 -1.150630
2  62 1.899769  142.002424 -1.080994 423.500578 2.437092 -1.097333
2  63 1.899769  144.252579 2.438290 426.771949 -0.395631 -1.303975
2  64 1.899769  148.240537 1.150295 428.718709 2.108755 0.000000
2  65 1.899769  147.289726 -2.039673 432.741232 1.458061 0.000000
2  66 1.899769  142.665583 -2.122297 432.784005 -1.381732 0.000000
2  67 1.899769  141.232337 0.843945 428.405849 -2.551705 0.000000
2  68 1.899769  145.513357 3.031852 425.842247 0.272172 0.000000
2  69 1.899769  149.416708 0.452134 429.527417 3.019675 0.000000
2  70 1.899769  146.929875 -2.645232 434.019409 0.960723 0.000000
2  71 1.899769  142.120853 -1.663530 432.403837 -2.414561 0.000000
2  72 1.899769  142.634998 2.153878 427.246695 -2.189616 0.000000
2  73 1.899769  148.071270 2.710484 426.780438 1.809898 0.000000
2  74 1.899769  149.862483 -1.111299 432.325118 3.154304 0.000000
2  75 1.899769  145.051871 -3.157899 435.346885 -0.479623 0.000000
2  76 1.899769  140.960169 -0.532495 431.157358 -3.275240 0.000000
2  77 1.899769  143.862940 3.136852 426.014698 -1.319476 0.000000
2  78 1.899769  149.776262 2.163000 427.715145 2.856747 0.000000
2  79 1.899769  149.443889 -2.495883 434.518321 3.295327 0.000000
2  80 1.899769  142.561900 -3.622262 436.312742 -1.703197 0.000000
2  81 1.899769  139.487307 0.892833 429.666990 -4.285246 0.000000
2  82 1.899769  145.397908 4.386139 424.781020 -0.063082 0.000000
2  83 1.899769  151.490225 1.043524 429.294758 4.066024 0.000000
2  84 1.899769  148.416830 -3.803333 435.839154 1.740050 0.000000
2  85 1.899769  141.037729 -3.965086 438.835444 1.414324 0.000000
2  86 1.899769  133.603661 -3.861200 441.711485 1.613456 0.000000
2  87 1.899769  126.655672 -3.453361 444.453723 1.273461 0.000000
2  88 1.899769  120.268243 -3.271065 447.124468 1.538192 0.000000
2  89 1.899769  113.989420 -3.339026 449.987939 1.476354 0.000000
2  90 1.899769  107.429852 -3.566622 452.801845 1.486012 0.000000
2  91 1.899769  100.540499 -3.686210 455.404255 1.253699 0.000000
2  92 1.899769  93.622970 -3.596284 457.542383 0.997236 0.000000
2  93 1.899769  87.073329 -3.298912 459.447460 1.008351 0.000000
2  94 1.899769  80.584658 -3.532098 461.410888 1.058667 0.000000
2  95 1.899769  74.259830 -3.126425 463.514050 1.155457 0.000000
2  96 1.899769  68.281675 -3.167133 465.529382 0.966203 0.000000
2  97 1.899769  62.388234 -3.037242 467.589417 1.202519 0.000000
2  98 1.899769  56.839354 -2.804394 469.963290 1.296598 0.000000
2  99 1.899769  51.434277 -2.885852 472.153169 1.008818 0.000000
2  100 1.899769  46.044190 -2.788614 473.997530 0.932852 0.000000
2  101 1.899769  40.867986 -2.660684 475.695439 0.854637 0.000000
2  102 1.899769  35.668555 -2.813067 477.533923 1.080844 0.000000
2  103 1.899769  30.369977 -2.765062 479.323105 0.802734 0.000000
2  104 1.899769  25.225951 -2.650359 480.982208 0.943902 0.000000
2  105 1.899769  20.489864 -2.335602 482.661427 0.823912 0.000000
3  1 1.899769  25.156191 0.164432 127.577776 3.977575 0.000000
3  2 1.899769  25.327915 0.016351 135.163321 4.008179 0.000000
3  3 1.899769  25.822377 0.504198 143.033757 4.277498 0.000000
3  4 1.899769  26.827194 0.553632 151.123487 4.239041 0.000000
3  5 1.899769  27.817125 0.488528 159.137646 4.197941 0.000000
3  6 1.899769  28.775414 0.520320 167.120612 4.206203 0.000000
3  7 1.899769  30.106427 0.880917 175.085253 4.178649 0.000000
3  8 1.899769  31.849201 0.953805 183.037017 4.192646 0.000000
3  9 1.899769  33.718430 1.014044 191.143136 4.341148 0.000000
3  10 1.899769  35.659981 1.029942 199.648951 4.613430 0.000000
3  11 1.899769  37.359745 0.759501 208.279689 4.472662 0.000000
3  12 1.899769  38.726391 0.679248 216.686770 4.377973 0.000000
3  13 1.899769  40.138371 0.807228 225.030148 4.405597 0.000000
3  14 1.899769  41.550812 0.679733 233.662827 4.682537 0.000000
3  15 1.899769  42.603268 0.428250 242.449356 4.567565 0.000000
3  16 1.899769  43.615847 0.637753 251.191967 4.636301 0.000000
3  17 1.899769  44.689600 0.492652 260.080871 4.721577 0.000000
3  18 1.899769  45.616529 0.483181 269.040081 4.710317 0.000000
3  19 1.899769  46.591942 0.543694 277.943044 4.662362 0.000000
3  20 1.899769  47.899352 0.832694 286.664701 4.519445 0.000000
